"Field Name","IQ Field","Type","Beg","Size","End","Description","Validated","Required","Default Value","Notes"
"Core-Included-In-Gross",,"Text",1568,1,1568,"Flag - Core Included in Gross",,,"No (0)","0=No, 1=Yes"
"Wrapper-Weight",,"Text",1569,19,1587,"Wrapper Weight",,,,"Format = >,>>>,>>>,>>9.99999999"
"Wrappe-rIncluded-In-Gross",,"Text",1588,1,1588,"Flag - Wrapper Included in Gross",,,"No (0)","0=No, 1=Yes"
"Prograph-Item",,"Text",1589,1,1589,"Flag - Planner Item"," "," ","No (0)","0=No, 1=Yes"
"Prograph-Cost-Source",,"Text",1590,22,1611,"Planner Cost Source","Yes","Yes*",,"Required if the Planner Item flag is set to 1 (Yes). Last Receipt, Standard Costing, Default Purchase Order"
"Prograph-Create-Reserves",,"Text",1612,1,1612,"Flag - Planner Create Reserves",,,"No (0)","0=No, 1=Yes"
"Prograph-Create-Requisitions",,"Text",1613,1,1613,"Flag - Planner Create Requisitions",,,"No (0)","0=No, 1=Yes"
"PSF-Item-Name",,"Text",1614,40,1653,"PSF Item Name",,,"Item Desc","FG Items only & if using PSF"
"PSF-Item-Short-Desc",,"Text",1654,120,1773,"PSF Item Short Description",,,"Item Desc","FG Items only & if using PSF"
"PSF-Min-Order-Quantity",,"Text",1774,10,1783,"PSF Minimum Order Quantity","Yes",,,"FG Items only & if using PSF; Format = ->,>>>,>>9**; must be less than maximum quantity"
"PSF-Max-Order-Quantity",,"Text",1784,10,1793,"PSF Maximum Order Quantity","Yes",,,"FG Items only & if using PSF; Format = ->,>>>,>>9**; must be greater than minimum quantity"
"On-Demand",,"Text",1794,1,1794,"Flag - On Demand Item",,,"No","0=No, 1=Yes; FG Items only & if using PSF"
"Allow-Back-Order",,"Text",1795,1,1795,"Flag - Allow Back Orders",,,"Yes","0=No, 1=Yes; FG Items only & if using PSF"
"Upload-Files-In-PSF",,"Text",1796,1,1796,"Flag - Upload Files in PSF",,,"No","0=No, 1=Yes; FG Items only & if using PSF"
"Upload-File-Required",,"Text",1797,1,1797,"Flag - Upload File Required",,,"No","0=No, 1=Yes; FG Items only & if using PSF"
"Upload-File-Label",,"Text",1798,30,1827,"Upload File Label",,,,"FG Items only & if using PSF"
"Item-Size",,"Text",1828,25,1852,"Item Size",,,,
"Item-Color",,"Text",1853,25,1877,"Item Color",,,,
"Item-Style",,"Text",1878,25,1902,"Item Style",,,,
"Immediate-Needs-Eligible",,"Text",1903,1,1903,"Flag - Immediate Needs Eligible",,,"No","0=No, 1=Yes; Only if using ILS for FG"
"Lot-Controlled",,"Text",1904,1,1904,"Flag - Lot Controlled",,,"No","0=No, 1=Yes; Only if using ILS for FG"
"ForestTypeID",,"Text",1905,15,1919,"Forest Type ID","Yes","Yes*",,"Required if Job Option for Forest Certified = Required"
"Fulfillment-Item-ID",,"Text",1920,40,"No line","PrintStream Fulfillment Item ID",,,,"Available only when PrintStream module is enabled"
